Nombre,Apellido,RUT,Fecha_Compra,Producto,Monto
Matías,González,15.432.876-2,2024-08-01,TCT,148000
Alejandra,Uribe,16.789.234-5,2024-08-01,Cupon electronico,82000
Raúl,Vivanco,17.234.890-6,2024-08-01,TAE,195000
José,Rojas,14.987.654-3,2024-08-02,TCT,142000
Paula,Yáñez,15.678.345-7,2024-08-02,Cupon electronico,88000
Andrés,Zenteno,16.345.901-8,2024-08-02,TAE,187000
Catalina,Soto,16.543.218-4,2024-08-03,TCT,153000
Bárbara,Acevedo,17.890.456-9,2024-08-03,Cupon electronico,77000
Carlos,Bello,14.567.123-0,2024-08-03,TAE,192000
Ana,Muñoz,17.654.321-K,2024-08-04,TCT,146000
Daniel,Concha,15.234.567-1,2024-08-04,Cupon electronico,93000
Eva,Durán,16.789.890-2,2024-08-04,TAE,183000
Valentina,Castro,16.789.012-8,2024-08-05,TCT,157000
Francisco,Elgueta,17.456.234-3,2024-08-05,Cupon electronico,79000
Gloria,Henríquez,14.890.567-4,2024-08-05,TAE,198000
Diego,Silva,15.678.901-7,2024-08-06,TCT,144000
Hugo,Iglesias,16.234.890-5,2024-08-06,Cupon electronico,86000
Isabel,Jiménez,17.567.345-6,2024-08-06,TAE,189000
Karen,Kast,14.123.678-7,2024-08-07,TCT,151000
Luis,Letelier,15.789.234-8,2024-08-07,Cupon electronico,84000
Manuel,Millán,16.456.901-9,2024-08-07,TAE,194000
Natalia,Neira,17.890.567-0,2024-08-08,TCT,147000
Óscar,Orellana,14.234.890-1,2024-08-08,Cupon electronico,91000
Alonso,Mendoza,15.234.567-8,2024-08-08,TAE,186000
Pilar,Queijo,16.567.234-2,2024-08-09,TCT,155000
Ricardo,Rivera,17.123.890-3,2024-08-09,Cupon electronico,78000
Simón,Herrera,17.456.789-5,2024-08-09,TAE,197000
Teresa,Ulloa,14.789.567-4,2024-08-10,TCT,143000
Úrsula,Vásquez,15.456.234-5,2024-08-10,Cupon electronico,87000
Vicente,Morales,15.567.890-5,2024-08-10,TAE,184000
Ximena,Werner,16.890.901-6,2024-08-11,TCT,158000
Yolanda,Yáñez,17.234.567-7,2024-08-11,Cupon electronico,83000
Zacarías,Zelada,14.567.890-8,2024-08-11,TAE,193000
Amanda,Vidal,17.345.678-K,2024-08-12,TCT,145000
Benjamín,Cortés,14.901.234-4,2024-08-12,Cupon electronico,89000
Cecilia,Díaz,15.678.234-9,2024-08-12,TAE,188000
David,Espejo,16.234.567-0,2024-08-13,TCT,152000
Elena,Poblete,15.678.912-8,2024-08-13,Cupon electronico,81000
Felipe,Martínez,15.789.012-2,2024-08-13,TAE,196000
Gabriela,García,17.890.234-1,2024-08-14,TCT,149000
Héctor,Hidalgo,14.456.789-2,2024-08-14,Cupon electronico,85000
Ignacia,Fuentes,17.234.567-2,2024-08-14,TAE,185000
Jorge,Jara,15.123.456-3,2024-08-15,TCT,156000
Karla,Klein,16.789.890-4,2024-08-15,Cupon electronico,76000
Leonardo,Lagos,17.345.234-5,2024-08-15,TAE,199000
Mónica,Montes,14.678.567-6,2024-08-16,TCT,144000
Nicolás,Campos,15.890.123-5,2024-08-16,Cupon electronico,92000
Olivia,Bustamante,15.345.678-2,2024-08-16,TAE,187000
Pedro,Valdés,13.876.543-5,2024-08-17,TCT,153000
Quiroz,Rafael,16.234.890-7,2024-08-17,Cupon electronico,80000
Renata,Ortiz,17.123.456-3,2024-08-17,TAE,194000
Sandra,Solar,14.567.234-8,2024-08-18,TCT,147000
Tomás,Contreras,14.890.123-7,2024-08-18,Cupon electronico,88000
Ulises,Urbina,15.890.567-9,2024-08-18,TAE,191000
Violeta,Orellana,17.912.345-1,2024-08-19,TCT,154000
Walter,White,16.456.234-0,2024-08-19,Cupon electronico,77000
Xavier,Xamar,17.123.890-1,2024-08-19,TAE,196000
Yoel,Yoma,14.789.567-2,2024-08-20,TCT,146000
Zunilda,Zapata,15.234.890-3,2024-08-20,Cupon electronico,90000
Adriana,Alcalde,16.567.234-4,2024-08-20,TAE,188000
Boris,Bravo,17.890.567-5,2024-08-21,TCT,151000
Camilo,Castro,14.456.234-6,2024-08-21,Cupon electronico,83000
Diana,Donoso,15.123.890-7,2024-08-21,TAE,195000
Emilio,Escobar,16.789.567-8,2024-08-22,TCT,148000
Fabiola,Flores,17.345.234-9,2024-08-22,Cupon electronico,86000
Germán,Gutiérrez,14.678.901-0,2024-08-22,TAE,189000
Helena,Miranda,16.912.345-1,2024-08-23,TCT,155000
Iván,Ibáñez,15.234.567-1,2024-08-23,Cupon electronico,79000
Jaime,Jofré,16.890.234-2,2024-08-23,TAE,197000
Karina,Kong,17.456.901-3,2024-08-24,TCT,143000
Lorenzo,Lira,14.123.567-4,2024-08-24,Cupon electronico,87000
Macarena,Mora,15.789.234-5,2024-08-24,TAE,186000
Nadia,Núñez,16.345.901-6,2024-08-25,TCT,152000
Octavio,Maldonado,14.567.891-0,2024-08-25,Cupon electronico,82000
Patricia,Ponce,17.012.567-7,2024-08-25,TAE,193000
Quintín,Quezada,14.678.234-8,2024-08-26,TCT,149000
Rocío,Robles,15.234.901-9,2024-08-26,Cupon electronico,91000
Sergio,Saavedra,16.890.567-0,2024-08-26,TAE,190000
Tamara,Toro,17.456.234-1,2024-08-27,TCT,156000
Ulises,Urzúa,14.123.890-2,2024-08-27,Cupon electronico,78000
Víctor,Valdivia,15.789.567-3,2024-08-27,TAE,198000
Wanda,Wilson,16.345.234-4,2024-08-28,TCT,145000
